date,eps_est,eps,surprise_pct
2010-11-09 16:00:00,-0.03,-0.03,19.38
2011-02-15 16:00:00,-0.03,-0.04,-10.49
2011-05-04 16:00:00,-0.03,-0.03,13.66
2011-08-03 16:00:00,-0.03,-0.04,-17.51
2011-11-02 17:00:00,-0.04,-0.04,4.7
2012-02-15 16:00:00,-0.04,-0.05,-10.39
2012-05-09 16:00:00,-0.05,-0.05,-9.65
2012-07-25 16:00:00,-0.06,-0.06,3.67
2012-11-05 06:00:00,-0.06,-0.06,-1.57
2013-02-20 16:00:00,-0.03,-0.04,-24.51
2013-05-08 17:00:00,,0.01,272.09
2013-08-07 16:00:00,-0.01,0.01,221.07
2013-11-05 16:00:00,0.01,0.01,23.46
2014-02-19 16:00:00,0.01,0.02,54.93
2014-05-09 16:00:00,,0.01,90.93
2014-07-31 16:00:00,,0.01,192.03
2015-02-11 17:00:00,0.02,-0.01,-141.13
2015-05-06 16:00:00,-0.03,-0.02,26.7
2015-08-05 16:00:00,-0.04,-0.03,22.22
2015-11-03 16:00:00,-0.04,-0.04,1.95
2016-02-10 16:00:00,0.01,-0.06,-670.3
2016-05-04 16:00:00,-0.04,-0.04,15.2
2016-08-03 16:00:00,-0.04,-0.07,-70.21
2016-10-26 16:00:00,,0.05,3034.44
2017-02-22 16:00:00,-0.03,-0.05,-40.63
2017-05-03 16:00:00,-0.05,-0.09,-65.92
2017-08-02 16:00:00,-0.13,-0.09,30.67
2017-11-01 16:00:00,-0.15,-0.19,-27.52
2018-02-07 16:00:00,-0.21,-0.2,3.44
2018-05-02 16:00:00,-0.24,-0.22,4.98
2018-08-01 16:00:00,-0.19,-0.2,-8.53
2018-10-24 16:00:00,,0.19,12033.95
2019-01-30 16:00:00,0.14,0.13,-6.46
2019-04-24 17:00:00,-0.06,-0.19,-209.63
2019-07-24 16:00:00,-0.03,-0.07,-182.31
2019-10-23 16:00:00,-0.02,0.12,903.11
2020-01-29 16:00:00,0.12,0.14,17.76
2020-04-29 12:00:00,-0.01,0.08,650.29
2020-07-22 16:00:00,-0.01,0.15,1460.77
2020-10-21 18:00:00,0.2,0.25,25.78
2021-01-27 16:00:00,0.35,0.27,-23.91
2021-04-26 16:00:00,0.26,0.31,19.42
2021-07-26 16:00:00,0.32,0.48,49.86
2021-10-20 15:00:00,0.54,0.62,15.22
2022-01-26 16:00:00,0.79,0.85,6.88
2022-04-20 16:00:00,0.75,1.07,42.31
2022-07-20 17:00:00,0.6,0.76,26.89
2022-10-19 17:00:00,1.0,1.05,5.23
2023-01-25 16:00:00,1.11,1.19,7.2
2023-04-19 16:00:00,0.85,0.85,-0.43
2023-07-19 16:00:00,0.82,0.91,11.12
2023-10-18 16:00:00,0.73,0.66,-9.81
2024-01-24 16:00:00,0.74,0.71,-4.1
2024-04-23 16:00:00,0.49,0.45,-8.14
2024-07-23 20:00:00,0.62,0.52,-16.15
2024-10-23 16:00:00,0.6,0.72,20.49
2025-01-29 16:00:00,0.77,0.73,-5.11
2025-04-22 16:00:00,0.41,0.27,-34.89
2025-07-23 16:00:00,0.4,0.4,-1.11
2025-10-22 16:00:00,0.56,0.5,-10.53
2026-01-28 16:00:00,0.45,0.5,10.96
2026-04-22 16:00:00,0.35,0.41,17.15
